Issue Type,Summary,Story Point Estimate
Story,Create new Branch,0.5
Story,Planning,2
Story,Create Specifications,3
Story,Create List of error codes,1
Story,Create migration,0.5
Story,Create Model,0.5
Story,Create seed,1
Story,Create seed for test,0.5
Story,Create routes,0.5
Story,Create middlewares,1
Story,Use middlewares,0.5
Story,Create Controller,0.5
Story,Create module documentation,5
Story,Create a file of tests,0.5
Story,Create Tests Documentation,3
Story,Create PHP test functions,13
Story,Create API functions. showAll,2
Story,Create request validation for store,2
Story,Create API functions. store,2
Story,Create request validation for update,2
Story,Create API functions. update,2
Story,Create API functions. showAllWithSoftDeleted,2
Story,Create API functions. softDelete,1
Story,Create API functions. restore,1
Story,Create API functions. permanentDelete,1
Story,Create Postman tests,1
Story,Make Postman tests,1
Story,Testing of functions,8
Story,Deployment,3
