Issue Type,Summary,Story Point Estimate
Story,Planning,1
Story,Create new Branch,0.5
Story,Create Specifications,5
Story,Edit List of error codes,0.5
Story,Edit migration,0.5
Story,Edit Model,0.5
Story,Edit seed,1
Story,Edit routes,0.5
Story,Edit middlewares,0
Story,Use middlewares,0.5
Story,Edit Controller,0.5
Story,Edit module documentation,5
Story,Edit a file of tests,0.5
Story,Edit Tests Documentation,3
Story,Edit PHP test functions,13
Story,Edit API functions. index,2
Story,Edit API functions. store,2
Story,Edit API functions. update,2
Story,Edit API functions. show,2
Story,Edit API functions. destroy,1
Story,Edit API functions. restore,1
Story,Edit API functions. permanentDelete,1
Story,Edit Postman tests,1
Story,Make Postman tests,1
Story,Testing of functions,8
Story,Deployment,3
