Issue Type,Summary,Story Point Estimate
Story,Create module 'LeadTypes',0.5
Task,Create Specification,2
Task,Create List of error codes,1
Task,Planning,2
Task,Create new Branch,0.5
Task,Create migration,1
Task,Create Model,1
Task,Create relationships in the Model,2
Task,Create routes,0.5
Task,Create Controller,0.5
Task,Use middleware,0.5
Task,Create middleware,2
Task,Create seed,2
Task,Create seed for test,1
Task,Create File of Tests,0.5
Task,Create Tests for method index,1
Task,Create API method index,2
Task,Create Tests for method softDelete,1
Task,Create API method softDelete,1
Task,Create Tests for method store,1
Task,Create Request validation for store,1
Task,Create API method store,2
Task,Create Tests for method update,1
Task,Create Request validation for update,0.5
Task,Create API method update,2
Task,Create Tests for method show,1
Task,Create API method show,2
Task,Create Tests for method indexOfSoftDelete,1
Task,Create API method indexOfSoftDelete,2
Task,Create Tests for method restore,1
Task,Create API method restore,1
Task,Create Tests for method permanentlyDeleted,1
Task,Create API method permanentlyDeleted,1
Task,Create module documentation,5
Task,Testing of functions,5
Task,CHANGELOG,0.5
Task,Commit,0.5
Task,Deployment,2
Task,Change Version,0.5
Task,Report,0.5

