Issue Type,Summary,Story Point Estimate
Story,Create module 'requesters',89
Task,Create Specifications,5
Task,Create List of error codes,1
Task,Planning,2
Task,Create new Branch,0.5
Task,Create migration,2
Task,Create Models,2
Task,Create relationships in the Models,2
Task,Create routes,1
Task,Create Controller,0.5
Task,Use middleware,0.5
Task,Create middleware,2
Task,Create seed,3
Task,Create seed for test,1
Task,Create File of Tests,0.5
Task,Create Tests for method index,1
Task,Create API method index,2
Task,Create Tests for method softDelete,1
Task,Create API method softDelete,2
Task,Create Tests for method store,5
Task,Create Request validation for store,2
Task,Create API method store,5
Task,Create Tests for method update,5
Task,Create Request validation for update,1
Task,Create API method update,2
Task,Create Tests for method show,5
Task,Create API method show,5
Task,Create Tests for method indexOfSoftDelete,3
Task,Create API method indexOfSoftDelete,3
Task,Create Tests for method restore,2
Task,Create API method restore,2
Task,Create Tests for method permanentlyDeleted,2
Task,Create API method permanentlyDeleted,2
Task,Create module documentation,8
Task,Testing of functions,8
Task,CHANGELOG,0.5
Task,Commit,0.5
Task,Deployment,5
Task,Change Version,0.5
Task,Report,0.5


