Issue Type,Summary,Story Point Estimate
Story,Create new Branch,0.5
Story,Create Specifications,3
Story,Planning,2
Story,Create List of error codes,2
Story,Create migration,1
Story,Create Model,1
Story,Create seed,2
Story,Create seed for test,0.5
Story,Create routes,0.5
Story,Create middleware,2
Story,Use middleware,1
Story,Create Controller,0.5
Story,Create module documentation,5
Story,Create a file of tests,0.5
Story,Create Tests Documentation,3
Story,Create PHP test functions,13
Story,Create API functions: index,2
Story,Create API functions: show,2
Story,Create request validation for store,2
Story,Create API functions: store,5
Story,Create request validation for update,1
Story,Create API functions: update,5
Story,Create API functions: softDelete,1
Story,Create API functions: indexWithSoftDeleted,2
Story,Create API functions: restore,1
Story,Create API functions: permanentDelete,2
Story,Testing of functions,8
Story,Deployment,3



