Issue Type,Summary,Story Point Estimate
Story,Create new Branch,0.5
Story,Planning,3
Story,Create static button 'Delete' in the table 'Files',0.5
Story,Insert function 'delete()' in the button 'Delete',0.5
Story,Create function 'delete()' in the Script section,0.5
Story,Code function 'delete()',3
Story,Test function 'delete()',0.5
Story,Create dynamic state for the function 'delete()' in the button 'Delete',0.5
Story,Test function 'delete()',0.5
Story,Deployment,0.5
Story,Test local domain,0.5
Story,Test online,0.5
Story,Update Changelog,0.5
Story,Update Report,0.5
Story,Update Helper,0.5
