Issue Type,Summary,Task Point Estimate
Story,Create action Delete,5
Task,Create new Branch,0.5
Task,Create endpoint in the api,0.5
Task,Create button 'Delete' in the table,0.5
Task,Create method 'Delete',0.5
Story,Page Dashboard. Update the block of soft-deleted,5
Task,Create new Branch,0.5
Task,Update tasks for MenusController,2
Task,Update MenusController,1
Task,Page Dashboard. Update the block of soft-deleted,0.5
Task,Page Dashboard. Check the block of soft-deleted,0.5
Story,Create page Index Of TradesSoftDeleted,8
Task,Create route,0.5
Task,Create page Trades by copy-paste,0.5
Task,Create table in the page for index of trades w/o data,2
Task,Create endpoint in the api,0.5
Task,Create mounted with endpoint,0.5
Story,Create action Restore,5
Task,Create new Branch,0.5
Task,Create endpoint in the api,0.5
Task,Create button 'Restore' in the table,0.5
Task,Create method 'Restore',1
Task,Test method 'Restore',0.5
Story,Create action DeletePermanently,5
Task,Create new Branch,0.5
Task,Create endpoint in the api,0.5
Task,Create button 'Delete Permanently' in the table,0.5
Task,Create method 'DeletePermanently',1
Task,Test method 'DeletePermanently',0.5
Task,Commit,0.5
Task,CHANGELOG,0.5
Task,Deployment/Checking/Testing,1
Task,Version,0.5
Task,Report,0.5
